Data,Estado,Casos
29/07/21,AMAZONAS,568
30/07/21,AMAZONAS,529
31/07/21,AMAZONAS,337
01/08/21,AMAZONAS,176
02/08/21,AMAZONAS,231
03/08/21,AMAZONAS,390
04/08/21,AMAZONAS,587
05/08/21,AMAZONAS,343
06/08/21,AMAZONAS,455
07/08/21,AMAZONAS,400
08/08/21,AMAZONAS,156
09/08/21,AMAZONAS,294
10/08/21,AMAZONAS,430
11/08/21,AMAZONAS,350
12/08/21,AMAZONAS,378
13/08/21,AMAZONAS,354
14/08/21,AMAZONAS,178
15/08/21,AMAZONAS,119
16/08/21,AMAZONAS,177
17/08/21,AMAZONAS,269
18/08/21,AMAZONAS,273
19/08/21,AMAZONAS,245
20/08/21,AMAZONAS,178
21/08/21,AMAZONAS,173
22/08/21,AMAZONAS,190
23/08/21,AMAZONAS,88
24/08/21,AMAZONAS,162
25/08/21,AMAZONAS,216
26/08/21,AMAZONAS,177
27/08/21,AMAZONAS,131
28/08/21,AMAZONAS,126
29/08/21,AMAZONAS,63
30/08/21,AMAZONAS,109
31/08/21,AMAZONAS,151
01/09/21,AMAZONAS,147
02/09/21,AMAZONAS,134
03/09/21,AMAZONAS,175
04/09/21,AMAZONAS,96
05/09/21,AMAZONAS,84
06/09/21,AMAZONAS,79
07/09/21,AMAZONAS,67
08/09/21,AMAZONAS,62
09/09/21,AMAZONAS,214
10/09/21,AMAZONAS,88
11/09/21,AMAZONAS,79
12/09/21,AMAZONAS,60
13/09/21,AMAZONAS,59
14/09/21,AMAZONAS,76
15/09/21,AMAZONAS,80
16/09/21,AMAZONAS,63
17/09/21,AMAZONAS,63
18/09/21,AMAZONAS,53
19/09/21,AMAZONAS,34
20/09/21,AMAZONAS,30
21/09/21,AMAZONAS,48
22/09/21,AMAZONAS,53
23/09/21,AMAZONAS,50
24/09/21,AMAZONAS,55
25/09/21,AMAZONAS,56
26/09/21,AMAZONAS,32
27/09/21,AMAZONAS,21
28/09/21,AMAZONAS,49
29/09/21,AMAZONAS,47
30/09/21,AMAZONAS,41
01/10/21,AMAZONAS,51
02/10/21,AMAZONAS,27
03/10/21,AMAZONAS,24
04/10/21,AMAZONAS,25
05/10/21,AMAZONAS,55
06/10/21,AMAZONAS,59
07/10/21,AMAZONAS,55
08/10/21,AMAZONAS,45
09/10/21,AMAZONAS,65
10/10/21,AMAZONAS,37
11/10/21,AMAZONAS,27
12/10/21,AMAZONAS,28
13/10/21,AMAZONAS,34
14/10/21,AMAZONAS,50
15/10/21,AMAZONAS,45
16/10/21,AMAZONAS,44
17/10/21,AMAZONAS,17
18/10/21,AMAZONAS,24
19/10/21,AMAZONAS,49
20/10/21,AMAZONAS,67
21/10/21,AMAZONAS,64
22/10/21,AMAZONAS,45
23/10/21,AMAZONAS,50
24/10/21,AMAZONAS,28
25/10/21,AMAZONAS,32
26/10/21,AMAZONAS,54
27/10/21,AMAZONAS,36
28/10/21,AMAZONAS,59
29/10/21,AMAZONAS,45
30/10/21,AMAZONAS,51
31/10/21,AMAZONAS,20
01/11/21,AMAZONAS,18
02/11/21,AMAZONAS,39
03/11/21,AMAZONAS,22
04/11/21,AMAZONAS,73
05/11/21,AMAZONAS,99
06/11/21,AMAZONAS,70
07/11/21,AMAZONAS,46
08/11/21,AMAZONAS,113
09/11/21,AMAZONAS,77
10/11/21,AMAZONAS,81
11/11/21,AMAZONAS,60
12/11/21,AMAZONAS,52
13/11/21,AMAZONAS,77
14/11/21,AMAZONAS,57
15/11/21,AMAZONAS,13
16/11/21,AMAZONAS,26
17/11/21,AMAZONAS,104
18/11/21,AMAZONAS,97
19/11/21,AMAZONAS,79
20/11/21,AMAZONAS,103
21/11/21,AMAZONAS,37
22/11/21,AMAZONAS,42
23/11/21,AMAZONAS,81
24/11/21,AMAZONAS,91
25/11/21,AMAZONAS,136
26/11/21,AMAZONAS,140
27/11/21,AMAZONAS,132
28/11/21,AMAZONAS,35
29/11/21,AMAZONAS,43
30/11/21,AMAZONAS,123
01/12/21,AMAZONAS,129
02/12/21,AMAZONAS,119
03/12/21,AMAZONAS,158
04/12/21,AMAZONAS,134
05/12/21,AMAZONAS,35
06/12/21,AMAZONAS,83
07/12/21,AMAZONAS,188
08/12/21,AMAZONAS,202
09/12/21,AMAZONAS,94
10/12/21,AMAZONAS,177
11/12/21,AMAZONAS,140
12/12/21,AMAZONAS,125
13/12/21,AMAZONAS,64
14/12/21,AMAZONAS,228
15/12/21,AMAZONAS,183
16/12/21,AMAZONAS,179
17/12/21,AMAZONAS,242
18/12/21,AMAZONAS,164
19/12/21,AMAZONAS,67
20/12/21,AMAZONAS,57
21/12/21,AMAZONAS,123
22/12/21,AMAZONAS,160
23/12/21,AMAZONAS,146
24/12/21,AMAZONAS,67
25/12/21,AMAZONAS,28
26/12/21,AMAZONAS,32
27/12/21,AMAZONAS,67
28/12/21,AMAZONAS,119
29/12/21,AMAZONAS,134
30/12/21,AMAZONAS,121
31/12/21,AMAZONAS,104
01/01/22,AMAZONAS,37
02/01/22,AMAZONAS,32
03/01/22,AMAZONAS,88
04/01/22,AMAZONAS,172
05/01/22,AMAZONAS,178
06/01/22,AMAZONAS,275
07/01/22,AMAZONAS,363
08/01/22,AMAZONAS,426
09/01/22,AMAZONAS,365
10/01/22,AMAZONAS,229
11/01/22,AMAZONAS,1219
12/01/22,AMAZONAS,1659
13/01/22,AMAZONAS,2404
14/01/22,AMAZONAS,2782
15/01/22,AMAZONAS,2638
16/01/22,AMAZONAS,3079
17/01/22,AMAZONAS,2674
18/01/22,AMAZONAS,4975
19/01/22,AMAZONAS,7505
20/01/22,AMAZONAS,8319
21/01/22,AMAZONAS,8063
22/01/22,AMAZONAS,7467
23/01/22,AMAZONAS,3211
24/01/22,AMAZONAS,3555
25/01/22,AMAZONAS,7334
26/01/22,AMAZONAS,6266
27/01/22,AMAZONAS,6312
28/01/22,AMAZONAS,6011
29/01/22,AMAZONAS,4869
30/01/22,AMAZONAS,1948
31/01/22,AMAZONAS,1608
01/02/22,AMAZONAS,4716
02/02/22,AMAZONAS,2849
03/02/22,AMAZONAS,4227
04/02/22,AMAZONAS,3497
05/02/22,AMAZONAS,2356
06/02/22,AMAZONAS,817
08/02/22,AMAZONAS,2858
09/02/22,AMAZONAS,2649
10/02/22,AMAZONAS,2663
11/02/22,AMAZONAS,2408
12/02/22,AMAZONAS,2347
13/02/22,AMAZONAS,536
14/02/22,AMAZONAS,447
15/02/22,AMAZONAS,1722
16/02/22,AMAZONAS,1025
17/02/22,AMAZONAS,957
18/02/22,AMAZONAS,1285
19/02/22,AMAZONAS,653
20/02/22,AMAZONAS,728
21/02/22,AMAZONAS,480
22/02/22,AMAZONAS,765
23/02/22,AMAZONAS,575
24/02/22,AMAZONAS,575
25/02/22,AMAZONAS,600
26/02/22,AMAZONAS,652
27/02/22,AMAZONAS,514
28/02/22,AMAZONAS,62
01/03/22,AMAZONAS,85
02/03/22,AMAZONAS,54
03/03/22,AMAZONAS,45
04/03/22,AMAZONAS,543
05/03/22,AMAZONAS,347
06/03/22,AMAZONAS,532
07/03/22,AMAZONAS,319
08/03/22,AMAZONAS,554
09/03/22,AMAZONAS,486
10/03/22,AMAZONAS,552
11/03/22,AMAZONAS,493
12/03/22,AMAZONAS,509
13/03/22,AMAZONAS,425
14/03/22,AMAZONAS,265
15/03/22,AMAZONAS,509
16/03/22,AMAZONAS,101
17/03/22,AMAZONAS,281
18/03/22,AMAZONAS,352
19/03/22,AMAZONAS,215
20/03/22,AMAZONAS,247
21/03/22,AMAZONAS,200
22/03/22,AMAZONAS,155
23/03/22,AMAZONAS,55
24/03/22,AMAZONAS,69
25/03/22,AMAZONAS,39
26/03/22,AMAZONAS,33
27/03/22,AMAZONAS,28
28/03/22,AMAZONAS,40
29/03/22,AMAZONAS,67
30/03/22,AMAZONAS,56
31/03/22,AMAZONAS,58
01/04/22,AMAZONAS,35
02/04/22,AMAZONAS,33
03/04/22,AMAZONAS,8
04/04/22,AMAZONAS,26
05/04/22,AMAZONAS,49
06/04/22,AMAZONAS,52
07/04/22,AMAZONAS,0
08/04/22,AMAZONAS,48
09/04/22,AMAZONAS,27
10/04/22,AMAZONAS,21
11/04/22,AMAZONAS,17
12/04/22,AMAZONAS,50
13/04/22,AMAZONAS,23
14/04/22,AMAZONAS,25
15/04/22,AMAZONAS,25
16/04/22,AMAZONAS,11
17/04/22,AMAZONAS,10
18/04/22,AMAZONAS,12
19/04/22,AMAZONAS,39
20/04/22,AMAZONAS,24
21/04/22,AMAZONAS,11
22/04/22,AMAZONAS,25
23/04/22,AMAZONAS,24
24/04/22,AMAZONAS,5
25/04/22,AMAZONAS,14
26/04/22,AMAZONAS,52
27/04/22,AMAZONAS,66
28/04/22,AMAZONAS,53
29/04/22,AMAZONAS,27
30/04/22,AMAZONAS,24
01/05/22,AMAZONAS,11
02/05/22,AMAZONAS,2
03/05/22,AMAZONAS,26
04/05/22,AMAZONAS,26
05/05/22,AMAZONAS,25
06/05/22,AMAZONAS,43
07/05/22,AMAZONAS,22
08/05/22,AMAZONAS,6
09/05/22,AMAZONAS,21
10/05/22,AMAZONAS,37
11/05/22,AMAZONAS,24
12/05/22,AMAZONAS,18
13/05/22,AMAZONAS,27
14/05/22,AMAZONAS,16
15/05/22,AMAZONAS,2
16/05/22,AMAZONAS,9
17/05/22,AMAZONAS,19
18/05/22,AMAZONAS,35
19/05/22,AMAZONAS,26
20/05/22,AMAZONAS,31
21/05/22,AMAZONAS,27
